AltTime,Altitiude
0.0,0.0001
0.01,-0.3136267369114681
0.02,-0.1444854623954907
0.03,0.3484626161153727
0.04,0.42235724139656156
0.05,-0.09119801077316221
0.06,0.15906960975709922
0.07,0.22542452702823979
0.08,0.26089586772663365
0.09,0.28149852986580015
0.1,0.5330960971280978
0.11,0.15147627499544927
0.12,0.18606624766684907
0.13,1.113903706567724
0.14,0.09837889620716378
0.15,0.8991953774011104
0.16,0.6122591547244743
0.17,0.8738327205837835
0.18,1.1559133684731764
0.19,1.4187652461376277
0.2,1.0522359223495459
0.21,1.5227008381056608
0.22,1.509621643837899
0.23,1.569470841810964
0.24,2.1865387244343597
0.25,2.1779202640335917
0.26,2.409592213091543
0.27,2.7244881856219374
0.28,3.039872893070125
0.29,3.7591881928974735
0.3,3.3773338197800955
0.31,3.452968145044296
0.32,3.524693788264144
0.33,4.686425023939453
0.34,4.977993561201883
0.35,4.974018706782988
0.36,4.80844500517296
0.37,5.469939412216942
0.38,5.688699632798446
0.39,6.000004724091322
0.4,6.622078121465854
0.41,6.647297689459276
0.42,7.259161451281558
0.43,7.725947243867655
0.44,8.355826054569523
0.45,8.356771758778756
0.46,9.098377298521715
0.47,9.619624009961768
0.48,9.568302771848666
0.49,10.27029584451861
0.5,10.899557462518839
0.51,11.438900990113055
0.52,11.509586799805787
0.53,11.65033400625599
0.54,12.721004612716714
0.55,13.6604498935152
0.56,14.196270455890321
0.57,14.313948279409166
0.58,14.630296574461934
0.59,15.765697467663497
0.6,15.783629084273967
0.61,16.463614929549898
0.62,17.26796226706198
0.63,17.92113182485622
0.64,18.522610245937287
0.65,19.010129721560727
0.66,19.82136729272414
0.67,20.47432015700742
0.68,21.14697040619488
0.69,21.541192388040567
0.7,23.196974931654058
0.71,23.216966093961506
0.72,23.992409332669723
0.73,24.336151830177318
0.74,25.315291432906275
0.75,25.521814422414767
0.76,26.934967526194807
0.77,27.85957790779467
0.78,28.651584002725226
0.79,29.401455884286868
0.8,30.119433262510125
0.81,30.572754309989744
0.82,31.618910000423536
0.83,31.846067899364055
0.84,32.95135162660527
0.85,34.16768498043098
0.86,34.563046629339695
0.87,36.02269555185363
0.88,36.209547885897926
0.89,37.80315517018514
0.9,38.261828253536244
0.91,38.74690959293207
0.92,40.26855045051233
0.93,41.301578350025686
0.94,41.65659018285146
0.95,42.572596832879675
0.96,43.54747473140647
0.97,44.5667941614179
0.98,45.65195497119889
0.99,46.57728581724644
1.0,47.724033548623254
1.01,48.35954599063395
1.02,49.546471217946724
1.03,50.72499439252319
1.04,52.221066857691135
1.05,52.65056528733614
1.06,53.72477412408783
1.07,55.128985089444065
1.08,55.84979764047696
1.09,56.57845747768325
1.1,57.98310018480261
1.11,59.293192454564554
1.12,60.97086224570748
1.13,61.380674888380696
1.14,62.977191416854154
1.15,63.85484929573378
1.16,64.98058128341543
1.17,66.30062039459987
1.18,67.38616738276284
1.19,68.5614438075176
1.2,69.40584309744877
1.21,70.96283249135051
1.22,71.95432169193828
1.23,73.17784425464986
1.24,74.18442011655448
1.25,75.62646219146178
1.26,76.56494648513569
1.27,78.18258324627774
1.28,79.58411918509476
1.29,80.54451219825322
1.3,81.98203155816427
1.31,82.95046659752391
1.32,84.56336514395791
1.33,85.47965940438077
1.34,87.49982046240825
1.35,88.67206753932199
1.36,89.72176266335391
1.37,91.51180086193199
1.38,92.05106199059223
1.39,93.54703541241817
1.4,95.51380869903711
1.41,96.3905653025575
