AccelTime,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ
0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0013062686477764577,0.01582394404445546,122.3429209244093
0.02,0.0,0.0,0.0001,-1.3062686477764576e-5,0.0001582394404445546,1.223429209244093,-0.0018148820227740707,-0.004832240369832123,141.44826366064245
0.03,-1.3062686477764576e-7,1.582394404445546e-6,0.01233429209244093,-3.121150670550528e-5,0.00010991703674623336,2.6379118458505175,0.002222334326375905,0.006661063029724431,136.6673413497345
0.04,-4.427419318326986e-7,2.6815647719078796e-6,0.038713410550946105,-8.988163441746234e-6,0.0001765276670434777,4.004585259347863,0.018393572560153195,-0.003562394936002994,136.64978427023183
0.05,-5.326235662501609e-7,4.446841442342657e-6,0.07875926314442473,0.00017494756215978574,0.00014090371768344775,5.371083102050181,0.004306996405451014,0.006591601309218289,136.6267180163106
0.06,1.2168520553476964e-6,5.855878619177135e-6,0.13247009416492656,0.0002180175262142959,0.00020681973077563064,6.737350282213288,-0.0059614526864464725,-0.0009638273196862827,131.38062655035768
0.07,3.3970273174906554e-6,7.92407592693344e-6,0.19984359698705945,0.00015840299934983116,0.0001971814575787678,8.051156547716865,0.010238048203329212,0.0053464480468157554,131.35708046270676
0.08,4.981057310988967e-6,9.895890502721119e-6,0.2803551624642281,0.0002607834813831233,0.00025064593804692537,9.364727352343932,-0.021921070330935346,-0.021853854140903534,131.3155724305953
0.09,7.5888921248202e-6,1.2402349883190374e-5,0.3740024359876674,4.157277807376983e-5,3.2107396637890036e-5,10.677883076649884,0.009301760479221096,-0.00917482687554116,131.28230349894963
0.1,8.004619905557897e-6,1.2723423849569274e-5,0.48078126675416627,0.0001345903828659808,-5.9640872117521556e-5,11.99070611163938,-0.005654725069801841,-0.0063213417535277,131.6590592306049
0.11,9.350523734217706e-6,1.2127015128394059e-5,0.60068832787056,7.804313216796239e-5,-0.00012285428965279856,13.307296703945429,-0.006385329294414896,-0.0006119366898430376,131.60977199752432
0.12,1.0130955055897329e-5,1.0898472231866073e-5,0.7337612949100143,1.4189839223813431e-5,-0.00012897365655122894,14.623394423920672,0.013112450705622605,-0.003933663109449968,131.56552128774248
0.13,1.0272853448135463e-5,9.608735666353783e-6,0.879995239149221,0.00014531434628003949,-0.00016831028764572863,15.939049636798098,-0.007595504732563405,-0.010597379989204403,131.48414314017114
0.14,1.1725996910935859e-5,7.925632789896497e-6,1.039385735517202,6.935929895440543e-5,-0.0002742840875377727,17.25389106819981,-0.003571893973021112,-0.00354544985733624,131.43441269043174
0.15,1.2419589900479913e-5,5.18279191451877e-6,1.2119246461992002,3.364035922419431e-5,-0.0003097385861111351,18.568235195104126,-0.0051433965533933335,0.00024299167317529634,131.34961142829525
0.16,1.2755993492721856e-5,2.0854060534074193e-6,1.3976069981502415,-1.7793606309739025e-5,-0.0003073086693793821,19.881731309387078,0.000710417729804887,-0.010928392134511085,131.26657138336384
0.17,1.2578057429624465e-5,-9.87680640386402e-7,1.5964243112441123,-1.0689429011690155e-5,-0.00041659259072449295,21.194397023220716,-0.007765536346419073,0.005798854110927363,131.16795313901977
0.18,1.2471163139507564e-5,-5.153606547631331e-6,1.8083682814763196,-8.834479247588089e-5,-0.0003586040496152193,22.506076554610914,0.0033650999857449144,-0.006914163203460583,131.0908522322094
0.19,1.1587715214748755e-5,-8.739647043783525e-6,2.0334290470224285,-5.4693792618431744e-5,-0.0004277456816498251,23.81698507693301,0.002155104264117053,-0.021746259453388372,131.00931325421627
0.2,1.1040777288564437e-5,-1.3017103860281775e-5,2.2715988977917587,-3.314274997726122e-5,-0.0006452082761837089,25.127078209475172,-0.008658075336690541,-0.0023910629227308976,128.07467584813762
0.21,1.0709349788791824e-5,-1.9469186622118864e-5,2.5228696798865107,-0.00011972350334416663,-0.0006691189054110179,26.40782496795655,0.011321116669716745,0.00504679282262514,127.99382317164343
0.22,9.512114755350157e-6,-2.6160375676229044e-5,2.786947929566076,-6.512336646999185e-6,-0.0006186509771847665,27.687763199672986,21.217447614837756,21.21274429600121,124.56760858710783
0.23,9.446991388880165e-6,-3.234688544807671e-5,3.063825561562806,0.21216796381173056,0.21150879198282732,28.933439285544065,21.255538466350632,21.265552620869713,124.4596361812976
0.24,0.0021311266295061856,0.0020827410343801965,3.353159954418247,0.42472334847523685,0.42416431819152445,30.178035647357042,21.31292330976328,21.30656503297611,124.31690575214321
0.25,0.0063783601142585545,0.006324384216295441,3.6549403108918175,0.6378525815728697,0.6372299685212856,31.421204704878473,21.34063696343776,21.32738721608176,124.19270353528934
0.26,0.012756885929987253,0.012696683901508297,3.9691523579406023,0.8512589512072473,0.8505038406821032,32.663131740231364,20.753398847158948,20.75180191598711,120.0380668208937
0.27,0.021269475442059725,0.021201722308329327,4.295783675342916,1.0587929396788367,1.0580218598419742,33.8635124084403,20.782640256857047,20.776317987063614,119.89292068422014
0.28,0.031857404838848094,0.031781940906749066,4.634418799427319,1.2666193422474072,1.2657850397126102,35.0624416152825,20.825914889313918,20.81319877184493,119.74722234638115
0.29,0.04452359826132217,0.04443979130387517,4.985043215580144,1.4748784911405464,1.4739170274310596,36.259913838746314,20.756995101916576,20.73297082959957,118.97405592633567
0.3,0.059272383172727636,0.059178961578185765,5.347642353967608,1.6824484421597121,1.6812467357270553,37.44965439800967,20.78482274387294,20.779745120554455,118.84172146447169
